englishname,hebrewname,morphology,definition,transliteration,dictionary
"Sisi, Sisay",סִיסִי,pr. n. m.,"[{'definition': '<i>Sisi, Sisay</i>, name of several persons. Y. Maasr. I, 48ᵈ top <span dir=""rtl"">ר׳ סיסיי</span>.—Y. Yeb. XII, end, 13ᵃ <span dir=""rtl"">לוי בר ס׳</span>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_לֵוִי.1"" data-ref=""Jastrow, לֵוִי 1"">לֵוִי</a>; <a class=""refLink"" href=""/Bereishit_Rabbah.81.2"" data-ref=""Bereishit Rabbah 81:2"">Gen. R. s. 81</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.964.1"" data-ref=""Yalkut Shimoni on Nach 964:1"">Yalk. Prov. 964</a>; Tanḥ. Tsav 5 <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סיסין.1"" data-ref=""Jastrow, סיסין 1"">סיסין</a>; ed. Bub. 7 <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סיסון.1"" data-ref=""Jastrow, סיסון 1"">סיסון</a> (corr. acc.).—Y. Sabb. VI, 7ᵈ bot. <span dir=""rtl"">אינייני בר סיסיי</span> (Naḥmanides: <span dir=""rtl"">חנינא בר סיסי</span>); Y. Snh. II, 20ᶜ bot. <span dir=""rtl"">חנ׳ בר סיסי</span>; Y. Ber. VI, 10ᶜ bot. <span dir=""rtl"">חנ׳ בר סיסיי</span>.'}]",,Jastrow Dictionary
Sisin,סִיסִין II,pr. n. m.,"[{'definition': '<i>Sisin</i>. <a class=""refLink"" href=""/Bava_Batra.30a.4"" data-ref=""Bava Batra 30a:4"">B. Bath. 30ᵃ</a>; <a class=""refLink"" href=""/Bava_Batra.159b.15"" data-ref=""Bava Batra 159b:15"">159ᵇ</a> <span dir=""rtl"">(<a dir=""rtl"" class=""refLink"" href=""/Jastrow,_נִכְסִין.1"" data-ref=""Jastrow, נִכְסִין 1"">נכסי</a>) <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_*דְּבִי.1"" data-ref=""Jastrow, *דְּבִי 1"">דבי</a> (<span dir=""rtl"">בר</span>) <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_ס׳.1"" data-ref=""Jastrow, ס׳ 1"">ס׳</a></span> (v. Rabb. D. S. a. l. notes) the estate of the family of (Bar) Sisin.—[Tanḥ. Tsav 5, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִיסִי.1"" data-ref=""Jastrow, סִיסִי 1"">סִיסִי</a>.]'}]",,Jastrow Dictionary
Sisera,סִיסְרָא,pr. n. m.,"[{'definition': ' (b. h.) pr. n. m. <i>Sisera</i>, '}, {'definition': ' captain of the army of Jabin king of Canaan. <a class=""refLink"" href=""/Berakhot.58a.16"" data-ref=""Berakhot 58a:16"">Ber. 58ᵃ</a> (ref. to <a class=""refLink"" href=""/I_Chronicles.29.11"" data-ref=""I Chronicles 29:11"">I Chr. XXIX, 11</a>, a. <a class=""refLink"" href=""/Judges.5.20"" data-ref=""Judges 5:20"">Jud. V, 20</a>) <span dir=""rtl"">זו מלחמת ס׳</span> this refers to the warfare against S.—<a class=""refLink"" href=""/Bamidbar_Rabbah.9.24"" data-ref=""Bamidbar Rabbah 9:24"">Num. R. s. 9</a>; a. fr.', 'number': '1)'}, {'definition': ' name of a gentile gardener. Y. Dem. II, 22ᶜ bot.', 'number': '—2)'}]",,Jastrow Dictionary
Sisraṭai,סִיסְרָטַאי,pr. n. m.,"[{'definition': '<i>Sisraṭai</i>. <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.340.1"" data-ref=""Yalkut Shimoni on Nach 340:1"">Yalk. Ez. 340</a>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_*סוּטַר.1"" data-ref=""Jastrow, *סוּטַר 1"">סוּטַר</a>.—Y. Kil. III, beg. 28ᶜ <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סיסרטא.1"" data-ref=""Jastrow, סיסרטא 1"">סיסרטא</a> (corr. acc.). Y. Sabb. III, 5ᵈ top. Y. B. Mets. IV, 9ᵈ top; a. e.—<a class=""refLink"" href=""/Taanit.14a.4"" data-ref=""Taanit 14a:4"">Taan. 14ᵃ</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִיסְרָטַאי.1"" data-ref=""Jastrow, סִיסְרָטַאי 1"">סִסְרָטַאי</a> (Yoḥăsin <span dir=""rtl"">סיטראטי</span>, v. Rabb. D. S. a. l. note 200).'}]",,Jastrow Dictionary
Abba Siḳra,סִיקְרָא III,pr. n. m.,"[{'definition': ', <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִמּוּקְיָד.1"" data-ref=""Jastrow, סִמּוּקְיָד 1"">אבא ס׳</a> <i>Abba Siḳra</i> (cmp. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִיקָרִין.1"" data-ref=""Jastrow, סִיקָרִין 1"">סִיקָרִין</a>). <a class=""refLink"" href=""/Gittin.56a.15"" data-ref=""Gittin 56a:15"">Gitt. 56ᵃ</a>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_בַּרְיוֹנָא.1"" data-ref=""Jastrow, בַּרְיוֹנָא 1"">בַּרְיוֹנָא</a>.'}]",,Jastrow Dictionary
Sira,סִירָא III,pr. n. m.,"[{'definition': '<i>Sira</i>; (<span dir=""rtl"">בר</span>) <span dir=""rtl"">בן ס׳</span> Jesus son of Sira (Sirach), author of the Hebrew original of Ecclesiasticus. <a class=""refLink"" href=""/Sanhedrin.100b.11"" data-ref=""Sanhedrin 100b:11"">Snh. 100ᵇ</a>. <a class=""refLink"" href=""/Bereishit_Rabbah.73.12"" data-ref=""Bereishit Rabbah 73:12"">Gen. R. s. 73</a>, end. <a class=""refLink"" href=""/Bereishit_Rabbah.8.2"" data-ref=""Bereishit Rabbah 8:2"">Gen. R. s. 8</a>; Y. Ḥag. II, 77ᶜ top <span dir=""rtl"">בר סִירָה</span>; a. fr.'}]",,Jastrow Dictionary
Sikhna,סִכְנָא,pr. n. m.,"[{'definition': '<i>Sikhna</i>. <a class=""refLink"" href=""/Kohelet_Rabbah.4.17"" data-ref=""Kohelet Rabbah 4:17"">Koh. R. to IV, 17</a> <span dir=""rtl"">שמעון ס׳</span> (prob. to be read: <span dir=""rtl"">סִכְנָאָה</span>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִכְנִין.1"" data-ref=""Jastrow, סִכְנִין 1"">סִכְנִין</a>).'}]",,Jastrow Dictionary
Salla,סַלָּא II,pr. n. m.,"[{'definition': '<i>Salla</i>, name of an Amora. <a class=""refLink"" href=""/Berakhot.29b.16"" data-ref=""Berakhot 29b:16"">Ber. 29ᵇ</a>; a. e.'}]",,Jastrow Dictionary
,סַלּוּנִי,pr. n. m.,"[{'definition': '<i>Beth Salluni</i> (the family of Sallu). <a class=""refLink"" href=""/Bereishit_Rabbah.63.9"" data-ref=""Bereishit Rabbah 63:9"">Gen. R. s. 63</a> <span dir=""rtl"">חד מן אילין דב׳ ס׳</span> one of those of B. S. (Baʿal ʿAḳeda: <span dir=""rtl"">לר׳ מאיר בבית סַלּוּא</span> R. M. at Beth Sallu; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.110.24"" data-ref=""Yalkut Shimoni on Torah 110:24"">Yalk. Gen. 110</a> <span dir=""rtl"">את ר׳ גמליאל</span>).'}]",,Jastrow Dictionary
Seleucus,סְלֶיוְקוֹס,pr. n. m.,"[{'definition': '<i>Seleucus</i> I, king of Syria. <a class=""refLink"" href=""/Midrash_Tehillim.9"" data-ref=""Midrash Tehillim 9"">Midr. Till. to Ps. IX</a> ed. Bub. <span dir=""rtl"">סלייק׳</span> (oth. ed. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סקילוס.1"" data-ref=""Jastrow, סקילוס 1"">סקילוס</a>, corr. acc.); Yalk. Ps. 642 <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סולקוס.1"" data-ref=""Jastrow, סולקוס 1"">סולקוס</a>, <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִלְסוּל.1"" data-ref=""Jastrow, סִלְסוּל 1"">סיל׳</a> (corr. acc.), v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סְלִיקְיָא.1"" data-ref=""Jastrow, סְלִיקְיָא 1"">סְלִיקְיָא</a>.'}]",,Jastrow Dictionary
Salmai,סַלְמַאי,pr. n. m.,"[{'definition': '<i>Salmai</i>. <a class=""refLink"" href=""/Taanit.28a.10"" data-ref=""Taanit 28a:10"">Taan. 28ᵃ</a> (Ms. M. <span dir=""rtl"">סמלאי</span>); Tosef. ib. IV (III), 8; Y. ib. IV, 68ᵇ bot.; v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_נְטוֹפָתִי.1"" data-ref=""Jastrow, נְטוֹפָתִי 1"">נְטוֹפָתִי</a>.'}]",,Jastrow Dictionary
K’far Samma,סַמָּא III,pr. n. m.,"[{'definition': ' pr. n. m. <i>Samma</i>, name of several Amoraim (v. Yoḥăsin sub lit. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_ס.1"" data-ref=""Jastrow, ס 1"">ס</a>) <a class=""refLink"" href=""/Avodah_Zarah.50b.11"" data-ref=""Avodah Zarah 50b:11"">Ab. Zar. 50ᵇ</a>; a. fr.', 'number': '1)'}, {'definition': ' <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִיגְנָא.1"" data-ref=""Jastrow, סִיגְנָא 1"">כְּפַר ס׳</a> pr. n. pl. <i>K’far Samma</i>, the home of one Jacob, a disciple of Jesus of Nazareth. Tosef.Ḥull. <a class=""refLink"" href=""/Mishnah_Chullin.2.22"" data-ref=""Mishnah Chullin 2:22"">Ḥull. II, 22</a>; Y. Ab. Zar. II, 40ᵈ bot.; a. e.; v., however, <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִכְנַיָּא.1"" data-ref=""Jastrow, סִכְנַיָּא 1"">סִכְנַיָּא</a>.', 'number': '—2)'}]",,Jastrow Dictionary
,סַמָּאֵל,pr. n. m.,"[{'definition': '<i>Sammael</i>, name of an accuser and angel of death. <a class=""refLink"" href=""/Targum_Jonathan_on_Genesis.3.6"" data-ref=""Targum Jonathan on Genesis 3:6"">Targ. Y. Gen. III, 6</a>. <a class=""refLink"" href=""/Aramaic_Targum_to_Job.28.7"" data-ref=""Aramaic Targum to Job 28:7"">Targ. Job XXVIII, 7</a> second vers.—<a class=""refLink"" href=""/Sotah.10b.4"" data-ref=""Sotah 10b:4"">Sot. 10ᵇ</a>. <a class=""refLink"" href=""/Devarim_Rabbah.11.11"" data-ref=""Devarim Rabbah 11:11"">Deut. R. s. 11</a> <span dir=""rtl"">מלאך ס׳ הרשע ראש וכ׳</span> the angel S., the wicked, the chief of all Satans; a. fr.'}]",,Jastrow Dictionary
dyer of red,סַמּוֹקָא,pr. n. m.,"[{'definition': '<i>Sammoḳa</i> (<i>dyer of red</i>?), surname of R. Ṭayfa, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_טַיְיפָה.1"" data-ref=""Jastrow, טַיְיפָה 1"">טַיְיפָה</a>.'}]",,Jastrow Dictionary
Abba Simmuḳyad,סִמּוּקְיָד,pr. n. m.,"[{'definition': '<i>Abba Simmuḳyad</i> (Red-hand). <a class=""refLink"" href=""/Bamidbar_Rabbah.3.7"" data-ref=""Bamidbar Rabbah 3:7"">Num. R. s. 3</a>.'}]",,Jastrow Dictionary
Simya,סִמְיָא,pr. n. m.,"[{'definition': '<i>Simya</i>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִימַיי.1"" data-ref=""Jastrow, סִימַיי 1"">סִימַיי</a>.'}]",,Jastrow Dictionary
S’malyon,סְמַלְיוֹן,pr. n. m.,"[{'definition': '<i>S’malyon</i>, a scholar. <a class=""refLink"" href=""/Sifrei_Devarim.357.28"" data-ref=""Sifrei Devarim 357:28"">Sifré Deut. 357</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.963"" data-ref=""Yalkut Shimoni on Torah 963"">Yalk. ib. 963</a>; <a class=""refLink"" href=""/Sotah.13b.24"" data-ref=""Sotah 13b:24"">Sot. 13ᵇ</a> ס׳ אמר וכ׳ S. says, (the voice called out,) And Moses died &c.'}]",,Jastrow Dictionary
S’naah,סְנָאָה,pr. n. m.,"[{'definition': '<i>S’naah</i>. <a class=""refLink"" href=""/Mishnah_Taanit.4.5"" data-ref=""Mishnah Taanit 4:5"">Taan. IV, 5</a> (<a class=""refLink"" href=""/Taanit.26a.11"" data-ref=""Taanit 26a:11"">26ᵃ</a>) <span dir=""rtl"">בני ס׳</span> (Ms. M. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_שִׁנְאָב.1"" data-ref=""Jastrow, שִׁנְאָב 1"">שִׁנְאָב</a>; v. Rabb. D. S. a. l. note); Y. ib. IV, 68ᵇ bot.; Tosef. ib. IV (III), 6 ed. Zuck. (Var. <span dir=""rtl"">סניאה</span>); Bab. ib. 12ᵃ <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִנְאָב.1"" data-ref=""Jastrow, סִנְאָב 1"">סִנְאָב</a> (Ms. M. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_ש׳.1"" data-ref=""Jastrow, ש׳ 1"">ש׳</a>); <a class=""refLink"" href=""/Eruvin.41a"" data-ref=""Eruvin 41a"">Erub. 41ᵃ</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִנְאָב.1"" data-ref=""Jastrow, סִנְאָב 1"">סנאב</a> (Ms. O. <span dir=""rtl"">סנאה</span>).'}]",,Jastrow Dictionary
,סַנְדַּלְפוֹן,pr. n. m.,"[{'definition': '<i>Sandalfon</i>, name of an angel. <a class=""refLink"" href=""/Chagigah.13b.4"" data-ref=""Chagigah 13b:4"">Ḥag. 13ᵇ</a>. <a class=""refLink"" href=""/Pesikta_Rabbati.20.1"" data-ref=""Pesikta Rabbati 20:1"">Pesik. R. s. 20</a> <span dir=""rtl"">אשו של ס׳</span> the fire of S.'}]",,Jastrow Dictionary
Bar-Sannigora,סַנִּיגוֹרָא,pr. n. m.,"[{'definition': '<i>Bar-Sannigora</i>. <a class=""refLink"" href=""/Targum_Jonathan_on_Numbers.34.8"" data-ref=""Targum Jonathan on Numbers 34:8"">Targ. Y. I Num. XXXIV, 8</a> <span dir=""rtl"">כרכוי דבר ס׳</span> the towns of Bar-S. (on the border between Syria and Palestine); [for <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_טְבַרְיָא.1"" data-ref=""Jastrow, טְבַרְיָא 1"">טבריא</a> ib., read with Y. II <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אַנְטוּכְיָא.1"" data-ref=""Jastrow, אַנְטוּכְיָא 1"">אנטוכיא</a>]; <a class=""refLink"" href=""/Sifrei_Devarim.51.6"" data-ref=""Sifrei Devarim 51:6"">Sifré Deut. 51</a> <span dir=""rtl"">כרכא דבר סנגרא</span> (not <span dir=""rtl"">דבר</span>); <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.874"" data-ref=""Yalkut Shimoni on Torah 874"">Yalk. ib. 874</a> (not <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_כְּרָבָא II.1"" data-ref=""Jastrow, כְּרָבָא II 1"">כרבא</a>); <a class=""refLink"" href=""/Tosefta_Shevi\'it.4.11"" data-ref=""Tosefta Shevi\'it 4:11"">Tosef. Shebi. IV, 11</a> <span dir=""rtl"">כפרא דבר סנגרא</span> (read <span dir=""rtl"">כרכא</span>; Var. <span dir=""rtl"">סינגורא</span>); Y. Shebi. VI, 36ᶜ <span dir=""rtl"">ברכה רבה ובר סנגדא</span> (corr. acc., or <span dir=""rtl"">כרכה רבה דבר ס׳</span> the large town of &c.).'}]",,Jastrow Dictionary
Sansan,סַנְסַן I,pr. n. m.,"[{'definition': '<i>Sansan</i>. <a class=""refLink"" href=""/Bereishit_Rabbah.19.2"" data-ref=""Bereishit Rabbah 19:2"">Gen. R. s. 19</a> <span dir=""rtl"">חנינא בר ס׳</span> (cmp. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סִיסִי.1"" data-ref=""Jastrow, סִיסִי 1"">סִיסִי</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.1056"" data-ref=""Yalkut Shimoni on Nach 1056"">Yalk. Esth. 1056</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_פַּפָּא.1"" data-ref=""Jastrow, פַּפָּא 1"">פפא</a>).'}]",,Jastrow Dictionary
"S’ʿorim, S’ʿoram",סְעוֹרִים,pr. n. m.,"[{'definition': '<i>S’ʿorim, S’ʿoram</i>. <a class=""refLink"" href=""/Bava_Metzia.73b.8"" data-ref=""Bava Metzia 73b:8"">B. Mets. 73ᵇ</a> <span dir=""rtl"">רב סעורם</span>; <a class=""refLink"" href=""/Moed_Katan.28a.17"" data-ref=""Moed Katan 28a:17"">M. Kat. 28ᵃ</a> <span dir=""rtl"">רב שְׂעוֹרִים</span> (Ms. M. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סְעוֹרִים.1"" data-ref=""Jastrow, סְעוֹרִים 1"">סְעוֹרִים</a>).'}]",,Jastrow Dictionary
Safra,סַפְרָא II,pr. n. m.,"[{'definition': '<i>Safra</i>, an Amora. <a class=""refLink"" href=""/Pesachim.52b.8"" data-ref=""Pesachim 52b:8"">Pes. 52ᵇ</a>. <a class=""refLink"" href=""/Chullin.110b.4"" data-ref=""Chullin 110b:4"">Ḥull. 110ᵇ</a>; a. fr.—V. Fr. M’bo, p. 119ᵃ'}]",,Jastrow Dictionary
Nissa,נִסָּא II,pr. n. m.,"[{'definition': '<i>Nissa</i>, an Amora. Y. Erub. II, 20ᵃ bot. Y. B. Bath. II, beg. 13ᵇ. Y. Ter. XI, end, 48ᵇ; a. fr.'}]",,Jastrow Dictionary
Natsa,נָצָא III,pr. n. m.,"[{'definition': ' (or <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_נַצָּא.1"" data-ref=""Jastrow, נַצָּא 1"">נַצָּא</a>) m. (<a class=""refLink"" href=""/Jastrow,_נְצָא.1"" data-ref=""Jastrow, נְצָא 1"">preced.</a>) <i>strife</i>; pr. n. m. <i>Natsa</i>. <a class=""refLink"" href=""/Shabbat.56b.2"" data-ref=""Shabbat 56b:2"">Sabb. 56ᵇ</a> (transl. <span dir=""rtl"">מריב</span>, <a class=""refLink"" href=""/I_Chronicles.8.34"" data-ref=""I Chronicles 8:34"">I Chr. VIII, 34</a>, a. ref. to <span dir=""rtl"">וירב</span>, <a class=""refLink"" href=""/I_Samuel.15.5"" data-ref=""I Samuel 15:5"">I Sam. XV, 5</a>) <span dir=""rtl"">נ׳ בר נ׳</span> Strife (Mephibosheth), son of Strife (Saul), v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_נַחַל.1"" data-ref=""Jastrow, נַחַל 1"">נַחַל</a>.'}]",,Jastrow Dictionary
Odenathus,נֵצֶר IV,pr. n. m.,"[{'definition': '<i>Netsar</i>, one of the alleged disciples of Jesus of Nazareth. <a class=""refLink"" href=""/Sanhedrin.43a.24"" data-ref=""Sanhedrin 43a:24"">Snh. 43ᵃ</a> Ms. M. a. ed. Ven. (omitted in later edit., v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_בּוּנִי.1"" data-ref=""Jastrow, בּוּנִי 1"">בּוּנִי</a>).', 'number': '1)'}, {'definition': ' בֶּן נ׳ <i>Ben-Netsar</i> (<i>son of Nassor</i>) name of a chief of robbers who became founder of a dynasty, i.e. <i>Odenathus</i> of Palmyra (v. Cyclop. Brit. s. v. Palmyra, Ersch u. Gruber II, Vol. 27, p. 185, Fürst Gloss., p. 145). <a class=""refLink"" href=""/Ketubot.51b.19"" data-ref=""Ketubot 51b:19"">Keth. 51ᵇ</a> (opp. to <span dir=""rtl"">מלכות אחשורוש</span> the legitimate Persian dynasty). <a class=""refLink"" href=""/Bereishit_Rabbah.76.6"" data-ref=""Bereishit Rabbah 76:6"">Gen. R. s. 76</a>; Yalk. Dan. 1064 <span dir=""rtl"">בן נָצוֹר</span>. Y. Ter. VIII, 46ᵇ bot. <span dir=""rtl"">בר ניצור</span>.', 'number': '—2)'}]",,Jastrow Dictionary
Lucas,נָקַאי,pr. n. m.,"[{'definition': '<i>Nacai</i> (<i>Lucas</i>, v. Neub., v. Neub. Stud. Bibl. I, p. 61); <span dir=""rtl"">נ׳ ספרא</span> N. the scribe (or teacher). <a class=""refLink"" href=""/Bereishit_Rabbah.79"" data-ref=""Bereishit Rabbah 79"">Gen. R. s. 79</a> <span dir=""rtl"">שמע קליה דנ׳ ס׳</span> he heard N. say; <a class=""refLink"" href=""/Kohelet_Rabbah.10.8"" data-ref=""Kohelet Rabbah 10:8"">Koh. R. to X, 8</a> <span dir=""rtl"">קליה דינ׳ ס׳</span>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.133.27"" data-ref=""Yalkut Shimoni on Torah 133:27"">Yalk. Gen. 133</a> <span dir=""rtl"">דנקא׳</span>; Pesik. B’shall., p. 90ᵃ <span dir=""rtl"">דמינקי</span> (corr. acc.).'}, {'definition': ' N., one of the disciples of Jesus of Nazareth. <a class=""refLink"" href=""/Sanhedrin.43a.23"" data-ref=""Sanhedrin 43a:23"">Snh. 43ᵃ</a> Ms. M. a. early eds. (v. <a class=""refLink"" href=""/Jastrow,_נֵצֶר IV.1"" data-ref=""Jastrow, נֵצֶר IV 1""><span dir=""rtl"">נֵצֶר</span> IV</a>).', 'number': '—2)'}]",,Jastrow Dictionary
Naḳdimon,נַקְדִּימוֹן,pr. n. m.,"[{'definition': '<i>Naḳdimon</i> (Nicodemus) ben Gorion, a wealthy citizen of Jerusalem during the siege by Vespasian and Titus. <a class=""refLink"" href=""/Gittin.56a.8"" data-ref=""Gittin 56a:8"">Gitt. 56ᵃ</a>. <a class=""refLink"" href=""/Taanit.20a.5"" data-ref=""Taanit 20a:5"">Taan. 20ᵃ</a> (ed. Pes. <span dir=""rtl"">נִיקוֹדִימוֹן</span>); <a class=""refLink"" href=""/Avodah_Zarah.25a.7"" data-ref=""Avodah Zarah 25a:7"">Ab. Zar. 25ᵃ</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.809.3"" data-ref=""Yalkut Shimoni on Torah 809:3"">Yalk. Deut. 809</a>; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Nach.21"" data-ref=""Yalkut Shimoni on Nach 21"">Yalk. Josh. 21</a>. <a class=""refLink"" href=""/Bereishit_Rabbah.42"" data-ref=""Bereishit Rabbah 42"">Gen. R. s. 42</a>. <a class=""refLink"" href=""/Eichah_Rabbah.1.57"" data-ref=""Eichah Rabbah 1:57"">Lam. R. to I, 16</a>; <a class=""refLink"" href=""/Pesikta_Rabbati.29.1"" data-ref=""Pesikta Rabbati 29:1"">Pesik. R. s. 29—30</a>—30.'}]",,Jastrow Dictionary
Naḳosa,נָקוֹסָא,pr. n. m.,"[{'definition': '<i>Naḳosa</i>. <a class=""refLink"" href=""/Bava_Kamma.81b.10"" data-ref=""Bava Kamma 81b:10"">B. Kam. 81ᵇ</a> יהודה בן נ׳ Ms. M. (ed. <span dir=""rtl"">קנוסא</span>); Y. Ber. II, end, 5ᵈ ed. Lehm. (ed. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_פַּפּוּס.1"" data-ref=""Jastrow, פַּפּוּס 1"">פפוס</a>). <a class=""refLink"" href=""/Kohelet_Rabbah.1.8.4"" data-ref=""Kohelet Rabbah 1:8:4"">Koh. R. to I, 8</a>; <a class=""refLink"" href=""/Kohelet_Rabbah.7.26.3"" data-ref=""Kohelet Rabbah 7:26:3"">VII, 26</a> (some ed. <span dir=""rtl"">נקיסא</span>).'}]",,Jastrow Dictionary
Nithza,נִתזָה,pr. n. m.,"[{'definition': '<i>Nithza</i>. <a class=""refLink"" href=""/Sanhedrin.74a.12"" data-ref=""Sanhedrin 74a:12"">Snh. 74ᵃ</a> <span dir=""rtl"">נמנו וגמרו בעליית בית נ׳</span> they voted and passed a law in the upper chamber of the house of N.; Y. ib. III, 21ᵇ top; <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.838.1"" data-ref=""Yalkut Shimoni on Torah 838:1"">Yalk. Deut. 838</a>; Y. Shebi. IV, 35ᵃ bot. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_לִבְזָה.1"" data-ref=""Jastrow, לִבְזָה 1"">לבזה</a>. <a class=""refLink"" href=""/Kiddushin.40b.8"" data-ref=""Kiddushin 40b:8"">Kidd. 40ᵇ</a>; (<a class=""refLink"" href=""/Sifrei_Devarim.41"" data-ref=""Sifrei Devarim 41"">Sifré Deut. 41</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_עָרוֹד.1"" data-ref=""Jastrow, עָרוֹד 1"">ערוד</a>).'}]",,Jastrow Dictionary
,*נתזואי,pr. n. m.,"[{'definition': ' (prob. to be read <span dir=""rtl"">נִתְוָואר</span>) pr. n. m. <a class=""refLink"" href=""/Eruvin.59a"" data-ref=""Eruvin 59a"">Erub. 59ᵃ</a> (Ms. M. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_נִשְׁוָאר.1"" data-ref=""Jastrow, נִשְׁוָאר 1"">נִשְׁוָאר</a>; v. Rabb. D. S. a. l. note; Ar. <span dir=""rtl"">נתזור</span>, prob. for <span dir=""rtl"">נִתְוָור</span>).'}]",,Jastrow Dictionary
N’thinah,נְתִינָה II,pr. n. m.,"[{'definition': '<i>N’thinah</i>, father of Dama, (v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דָּמָא.1"" data-ref=""Jastrow, דָּמָא 1"">דָּמָא</a>). <a class=""refLink"" href=""/Kiddushin.31a.9"" data-ref=""Kiddushin 31a:9"">Kidd. 31ᵃ</a>; Y. ib. I, 61ᵇ top; a. e.'}]",,Jastrow Dictionary
Nathan,נָתָן,pr. n. m.,"[{'definition': ' (b. h.) pr. n. m. <i>Nathan</i>, '}, {'definition': ' the prophet. Koh. R. to IV, 12. <a class=""refLink"" href=""/Midrash_Tehillim.51.1"" data-ref=""Midrash Tehillim 51:1"">Midr. Till. to Ps. LI</a>; a. fr.—2) N. the Babylonian, a Tannai. <a class=""refLink"" href=""/Mishnah_Berakhot.9.5"" data-ref=""Mishnah Berakhot 9:5"">Ber. IX, 5</a>. <a class=""refLink"" href=""/Tosefta_Yevamot.8.4"" data-ref=""Tosefta Yevamot 8:4"">Tosef. Yeb. VIII, 4</a>. <a class=""refLink"" href=""/Bava_Batra.73a.7"" data-ref=""Bava Batra 73a:7"">B. Bath. 73ᵃ</a>; a. fr.—3) name of several Amoraim. Y. Erub. VI, 23ᶜ bot., v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דְּרוֹמָאָה.1"" data-ref=""Jastrow, דְּרוֹמָאָה 1"">דְּרוֹמָאָה</a>; a. e.—Y. M. Kat. III, 82ᵃ <span dir=""rtl"">נ׳ בר אבא</span>.—Y. Ter. VII, 44ᶜ <span dir=""rtl"">נ׳ בר הושעיה</span>.—Y. Ber. IV, 7ᵇ <span dir=""rtl"">נ׳ בר טובי</span>; a. fr.—4) N. d’Tsutsitha, a penitent. <a class=""refLink"" href=""/Shabbat.56b.19"" data-ref=""Shabbat 56b:19"">Sabb. 56ᵇ</a>.—<span dir=""rtl"">אבות דר׳ נ׳</span>, v. <a class=""refLink"" href=""/Jastrow,_אָב II.1"" data-ref=""Jastrow, אָב II 1""><span dir=""rtl"">אָב</span> II</a>.', 'number': '1)'}]",,Jastrow Dictionary
